koi_depth,koi_duration,koi_insol,koi_model_snr,koi_period,koi_prad,koi_slogg,koi_srad,koi_steff,koi_teq
252.6,4.054,705.79,27.6,5.18560081,2.34,4.198,1.471,6172.0,1314.0
316.1,4.2246,122.98,53.8,10.30401132,1.84,4.364,1.046,5657.0,849.0
263.8,2.687,730.69,11.4,4.2742605,1.88,4.361,1.148,6477.0,1326.0
2754.6,0.7572,41.85,48.6,1.565412613,1.73,4.923,0.328,3464.0,648.0
106.1,1.94,1678.58,12.3,1.287097944,0.89,4.494,0.852,5906.0,1631.0
396.4,5.522,15.8,19.1,58.601926,2.06,4.44,1.019,6250.0,508.0
641.7,6.923,7.99,25.5,94.886902,4.24,4.342,1.097,5888.0,429.0
115.7,2.952,26.19,6.7,20.004714,0.89,4.534,0.848,5299.0,577.0
85.4,5.922,480.26,33.8,7.03146295,1.38,4.192,1.499,6170.0,1194.0
254.3,3.176,36.57,24.9,12.43929428,1.3,4.531,0.773,4987.0,627.0
542.4,4.59,21.57,20.4,35.1184432,3.26,4.376,1.054,5527.0,550.0
527.4,2.0179,2558.96,118.6,1.674690886,29.78,4.331,1.157,6397.0,1813.0
251835.0,4.11699,102.27,6512.7,22.913446297,81.61,4.294,1.297,6621.0,811.0
328544.0,16.1025,1.38,765.3,286.1755875,63.23,4.471,0.946,5904.0,276.0
8433.0,11.481,23.17,78.4,23.6270348,21.71,4.477,0.857,5305.0,560.0
210.4,2.744,73.08,16.9,23.2218115,2.42,4.185,1.374,5808.0,746.0
498.0,5.282,9.12,48.2,110.9215892,3.71,4.148,1.384,5725.0,443.0
601.2,6.23,355.64,51.3,11.08260553,7.34,3.674,2.196,5125.0,1108.0
4033.5,5.9288,6.81,149.9,134.4785189,10.52,4.185,1.336,5791.0,412.0
433.4,4.759,147.13,17.0,11.25401871,2.42,4.351,1.118,5995.0,888.0
90282.0,1.7423,605.99,88.6,2.974163938,34.74,4.438,1.0,5780.0,1266.0
468.3,3.736,32.23,19.7,15.3626052,1.8,4.484,0.851,5011.0,608.0
796.5,2.1945,76.14,50.6,9.17858526,2.3,4.584,0.788,5506.0,753.0
966.7,2.9283,97.84,38.0,4.27121961,2.17,4.602,0.67,4702.0,802.0
283.2,61.73,58.68,30.5,43.142257,37.88,4.069,1.769,6198.0,706.0
360.6,8.699,45.9,73.4,31.80475991,2.99,4.235,1.356,5867.0,664.0
905.4,8.75,2.42,13.7,142.545,2.52,4.542,0.846,5642.0,318.0
